Titulo,Autor,Duracion
Choice,Jodi Picoult,Length: 38 mins
The Butcher's Masquerade,Matt Dinniman,Length: 23 hrs and 33 mins
Defiance of the Fall 5,TheFirstDefier,Length: 24 hrs and 11 mins
Six Graves,Angela Marsons,Length: 8 hrs and 33 mins
Gleam,Raven Kennedy,Length: 21 hrs and 1 min
Freezing Order,Bill Browder,Length: 10 hrs and 29 mins
Why I Stand,Jonathan Isaac,Length: 4 hrs and 29 mins
Heartless Sky,Caroline Peckham,Length: 30 hrs and 10 mins
If I Don't Ask,E.J. Noyes,Length: 11 hrs and 11 mins
The Hourglass Throne,K. D. Edwards,Length: 14 hrs and 19 mins
Glad You're Here,Walker Hayes,Length: 4 hrs and 20 mins
The End of the World Is Just the Beginning,Peter Zeihan,Length: 14 hrs and 45 mins
The Housemaid,Freida McFadden,Length: 9 hrs and 41 mins
Vainqueur the Dragon III: World Tour Edition,Maxime J. Durand,Length: 22 hrs and 30 mins
Insight,Jay Boyce,Length: 13 hrs and 6 mins
Zodiac Academy,Caroline Peckham,Length: 16 hrs and 27 mins
How to Be a Boss B*tch,Christine Quinn,Length: 7 hrs and 43 mins
City of Scars,JD Kirk,Length: 11 hrs and 23 mins
Of Claws and Fangs,Faith Hunter,Length: 14 hrs and 14 mins
Air Awakens: The Complete Series,Elise Kova,Length: 60 hrs and 11 mins
